iter,cfi,t_s
1,4.583520680411732,2.3881648058617095e-06
2,7.30185762640995,1.9195521440059113e-06
3,7.3453566102778955,1.7953649053245206e-06
4,8.86549415978916,1.755513197309846e-06
5,8.883062906025746,1.9297255401741362e-06
6,8.981659571972576,1.919254607919919e-06
7,9.067677001543924,1.919254607919919e-06
8,9.081506628891564,1.919254607919919e-06
9,9.104779309833024,1.919254607919919e-06
10,9.108159293838966,1.919254607919919e-06
11,9.109864738618251,1.9159010419884117e-06
12,9.149505198217856,1.9159010419884117e-06
13,9.159462553915926,1.9133765697529367e-06
14,9.15946255391594,1.9133765697529367e-06
15,9.177170482255619,1.9133765697529367e-06
16,9.200513008190654,1.9133765697529367e-06
17,9.22220613892128,1.9133765697529367e-06
18,9.222206138921287,1.9133765697529367e-06
19,9.234032873340844,1.9133765697529367e-06
20,9.234050385583554,1.9133765697529367e-06
21,9.238985755269916,1.9096544386863667e-06
22,9.268403184302443,1.9096544386863667e-06
23,9.268403184302445,1.9096544386863667e-06
24,9.319400206227026,1.9096544386863667e-06
25,9.335507854219241,1.9096544386863667e-06
26,9.335507854219244,1.9096544386863667e-06
27,9.346214089671463,1.9096544386863667e-06
28,9.347150070354685,1.9096544386863667e-06
29,9.347150070354695,1.9096544386863667e-06
30,9.348988235164432,1.9096544386863667e-06
31,9.349409344875685,1.9096544386863667e-06
32,9.881657094752015,1.4630571726057284e-06
33,9.922684571555052,1.4630571726057284e-06
34,10.043809105868792,1.4465446779799354e-06
35,10.043809105868808,1.4465446779799354e-06
36,10.077060059400686,1.4465446779799354e-06
37,10.07706005940069,1.4465446779799354e-06
38,10.077060059400692,1.4465446779799354e-06
39,10.108739577618728,1.4465446779799354e-06
40,10.111270240845684,1.4465446779799354e-06
41,10.119139753356006,1.4465446779799354e-06
42,10.169767693670629,1.4465446779799354e-06
43,10.180930515379417,1.4441663669110202e-06
44,10.18601492412061,1.4441663669110202e-06
45,10.186014924120617,1.4441663669110202e-06
46,10.188083756913205,1.4441663669110202e-06
47,10.188083756913207,1.4441663669110202e-06
48,10.191525642784935,1.4441663669110202e-06
49,10.20506290941287,1.4441663669110202e-06
50,10.205356337416262,1.4434555536862511e-06
51,10.205356337416273,1.4434555536862511e-06
52,10.21543637676067,1.4434555536862511e-06
53,10.215436376760671,1.4434555536862511e-06
54,10.215436376760675,1.4434555536862511e-06
55,10.2532545081246,1.4434555536862511e-06
56,10.256506743478933,1.4419764323006005e-06
57,10.256506743478948,1.4419764323006005e-06
58,10.263291640807514,1.4419764323006005e-06
59,10.264360061762915,1.4419764323006005e-06
60,10.27076452343022,1.4396907912242544e-06
61,10.270764523430238,1.4396907912242544e-06
62,10.291390367269553,1.4396907912242544e-06
63,10.29139036726956,1.4396907912242544e-06
64,10.291966073035862,1.4396907912242544e-06
65,10.350494386647657,1.4337560688116664e-06
66,10.35049438664766,1.4337560688116664e-06
67,10.373530119654134,1.4337560688116664e-06
68,10.382436100945315,1.431393085280258e-06
69,10.382436100945334,1.431393085280258e-06
70,10.386194510659122,1.431393085280258e-06
71,10.430021670030872,1.4203634898962604e-06
72,10.478705473697365,1.4203634898962604e-06
73,10.524808110382125,1.4203634898962604e-06
74,10.528636406933906,1.4186135197328297e-06
75,10.528636406933913,1.4186135197328297e-06
76,10.555402849365894,1.4186135197328297e-06
77,10.559018180068872,1.4186135197328297e-06
78,10.55931304056202,1.4186135197328297e-06
79,10.601556263895855,1.4186135197328297e-06
80,10.613980466609572,1.4143181173534685e-06
